scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-11-11,23:00:00,20:56:00,,Vanuatu,309693,1,,,,,,1,,3,,,
2020-11-12,23:00:00,20:59:00,,Vanuatu,309713,1,0.0,,,,,1,,3,,,
2020-11-13,23:00:00,20:58:00,,Vanuatu,309733,1,0.0,,,,,1,,3,,,
2020-11-14,23:00:00,20:57:00,,Vanuatu,309752,1,0.0,,,,,1,,3,,,
2020-11-15,23:00:00,20:53:00,,Vanuatu,309772,1,0.0,,,,,1,,3,,,
2020-11-16,23:00:00,20:59:00,,Vanuatu,309792,1,0.0,,,,,1,,3,,,
2020-11-17,23:00:00,20:58:00,,Vanuatu,309811,1,0.0,,,,,1,,3,,,
2020-11-18,23:00:00,20:57:00,,Vanuatu,309831,1,0.0,,,,,1,,3,,,
2020-11-19,23:00:00,20:59:00,,Vanuatu,309851,1,0.0,,,,,1,,3,,,
2020-11-20,23:00:00,20:59:00,,Vanuatu,309870,1,0.0,,,,,1,,3,,,
