scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,57,Venezuela,28428595,19443,,169,,11129,,8145,25.0,684.0,6.0,1545895,54378.0
2020-08-08,20:00:00,,57,Venezuela,28427280,24166,,208,,12470,,11488,66.0,850.0,7.0,1573859,55364.0
2020-08-12,20:00:00,,57,Venezuela,28426403,27938,,238,,19706,,7994,80.0,983.0,8.0,1603217,56399.0
2020-08-16,20:00:00,,57,Venezuela,28425527,32607,,276,,21747,,10584,85.0,1147.0,10.0,1640528,57713.0
2020-08-17,20:00:00,,57,Venezuela,28425308,33755,,281,,22700,,10774,85.0,1187.0,10.0,1640528,57714.0
2020-08-18,20:00:00,,57,Venezuela,28425088,34802,,288,,23575,,10939,85.0,1224.0,10.0,1650917,58080.0
2020-08-19,20:00:00,,57,Venezuela,28424869,35697,,297,,24561,,10839,85.0,1256.0,10.0,1650917,58080.0
2020-08-20,17:53:00,,57,Venezuela,28424650,36868,,303,,25416,,11149,85.0,1297.0,11.0,1669982,58751.0
2020-08-23,21:09:00,,57,Venezuela,28423992,38957,,323,,28453,,10181,85.0,1371.0,11.0,1695541,59652.0
2020-08-24,17:10:00,,57,Venezuela,28423773,39564,,329,,29966,,9269,86.0,1392.0,12.0,1695541,59652.0
2020-08-25,23:00:00,,57,Venezuela,28423554,40338,,337,,31080,,8921,86.0,1419.0,12.0,1706093,60024.0
2020-08-26,22:59:00,,57,Venezuela,28423335,41158,,343,,32015,,8800,86.0,1448.0,12.0,1706093,60024.0
2020-08-27,23:00:00,,57,Venezuela,28423116,41965,,351,,32931,,8683,86.0,1476.0,12.0,1723801,60648.0
2020-08-28,23:01:00,,57,Venezuela,28422897,42898,,358,,34147,,8393,86.0,1509.0,13.0,1734382,61021.0
2020-08-29,12:29:00,,57,Venezuela,28422677,43879,,366,,34972,,8541,86.0,1544.0,13.0,1734382,61021.0
2020-08-30,23:00:00,,57,Venezuela,28422458,44946,,375,,36175,,8396,86.0,1581.0,13.0,1754575,61732.0
2020-08-31,18:58:00,,57,Venezuela,28422239,45868,,381,,37091,,8396,99.0,1614.0,13.0,1754575,61732.0
2020-09-01,23:00:00,,57,Venezuela,28422020,46728,,386,,38112,,8230,99.0,1644.0,14.0,1766576,62155.0
2020-09-02,23:01:00,,57,Venezuela,28421801,47756,,391,,39027,,8338,99.0,1680.0,14.0,1775594,62473.0
2020-09-03,23:01:00,,57,Venezuela,28421581,48883,,398,,39912,,8573,101.0,1720.0,14.0,1780734,62654.0
2020-09-04,07:01:00,,57,Venezuela,28421362,49877,,402,,40574,,8901,101.0,1755.0,14.0,1789371,62959.0
2020-09-05,23:31:00,,57,Venezuela,28421143,50973,,412,,41249,,9312,102.0,1793.0,14.0,1789371,62959.0
2020-09-06,18:30:00,,57,Venezuela,28420924,52165,,420,,42006,,9739,102.0,1835.0,15.0,1805766,63536.0
2020-09-07,23:39:00,,57,Venezuela,28420705,53289,,428,,42006,,10855,105.0,1875.0,15.0,1805766,63537.0
2020-09-08,22:10:00,,57,Venezuela,28420486,54350,,436,,43753,,10161,111.0,1912.0,15.0,1805766,63537.0
2020-09-09,22:01:00,,57,Venezuela,28420266,55563,,444,,44435,,10684,111.0,1955.0,16.0,1824287,64190.0
2020-09-10,22:01:00,,57,Venezuela,28420047,56751,,452,,45318,,10981,111.0,1997.0,16.0,1824287,64190.0
2020-09-11,22:00:00,,57,Venezuela,28419828,57823,,460,,46125,,11238,111.0,2035.0,16.0,1824287,64191.0
