Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,155,Vietnam,97413518,620,,6,,373,,241,,6,0.06,430000,4414.0
2020-08-08 20:00:00,,2020-08-08,155,Vietnam,97427861,797,177.0,10,4.0,395,22.0,392,,8,0.1,482456,4952.0
2020-08-12 20:00:00,,2020-08-12,155,Vietnam,97437423,866,69.0,17,7.0,400,5.0,449,,9,0.2,482456,4951.0
2020-08-16 20:00:00,,2020-08-16,155,Vietnam,97446985,951,85.0,24,7.0,456,56.0,471,,10,0.2,621823,6381.0
2020-08-17 20:00:00,,2020-08-17,155,Vietnam,97449375,976,25.0,24,0.0,467,11.0,485,,10,0.2,723596,7425.0
2020-08-18 20:00:00,,2020-08-18,155,Vietnam,97451765,989,13.0,26,2.0,526,59.0,437,,10,0.3,723596,7425.0
2020-08-19 20:00:00,,2020-08-19,155,Vietnam,97454156,989,0.0,26,0.0,526,0.0,437,,10,0.3,723596,7425.0
2020-08-20 17:53:00,,2020-08-20,155,Vietnam,97456546,1007,18.0,25,,542,16.0,440,,10,0.3,817208,8385.0
2020-08-23 21:09:00,,2020-08-23,155,Vietnam,97463718,1016,9.0,27,2.0,563,21.0,426,,10,0.3,817208,8385.0
2020-08-24 17:10:00,,2020-08-24,155,Vietnam,97466108,1022,6.0,27,0.0,587,24.0,408,,10,0.3,817208,8385.0
2020-08-25 23:00:00,,2020-08-25,155,Vietnam,97468499,1029,7.0,27,0.0,592,5.0,410,,11,0.3,1009145,10354.0
2020-08-26 22:59:00,,2020-08-26,155,Vietnam,97470889,1034,5.0,29,2.0,632,40.0,373,,11,0.3,1009145,10353.0
2020-08-27 23:00:00,,2020-08-27,155,Vietnam,97473280,1036,2.0,30,1.0,637,5.0,369,,11,0.3,1009145,10353.0
2020-08-28 23:01:00,,2020-08-28,155,Vietnam,97475670,1038,2.0,30,0.0,663,26.0,345,,11,0.3,1009145,10353.0
2020-08-29 12:29:00,,2020-08-29,155,Vietnam,97478061,1038,0.0,31,1.0,663,0.0,344,,11,0.3,1009145,10353.0
2020-08-30 23:00:00,,2020-08-30,155,Vietnam,97480451,1040,2.0,32,1.0,695,32.0,313,,11,0.3,1009145,10352.0
2020-08-31 18:58:00,,2020-08-31,155,Vietnam,97482842,1044,4.0,34,2.0,707,12.0,303,,11,0.3,1009145,10352.0
2020-09-01 23:00:00,,2020-09-01,155,Vietnam,97485232,1044,0.0,34,0.0,735,28.0,275,,11,0.3,1009145,10352.0
2020-09-02 23:01:00,,2020-09-02,155,Vietnam,97487623,1046,2.0,34,0.0,746,11.0,266,,11,0.3,1009145,10352.0
2020-09-03 23:01:00,,2020-09-03,155,Vietnam,97490013,1046,0.0,35,1.0,746,0.0,265,,11,0.4,1009145,10351.0
2020-09-04 07:01:00,,2020-09-04,155,Vietnam,97492404,1046,0.0,35,0.0,755,9.0,256,,11,0.4,1009145,10351.0
2020-09-05 23:31:00,,2020-09-05,155,Vietnam,97494794,1049,3.0,35,0.0,786,31.0,228,,11,0.4,1009145,10351.0
2020-09-06 18:30:00,,2020-09-06,155,Vietnam,97497185,1049,0.0,35,0.0,815,29.0,199,,11,0.4,1009145,10351.0
2020-09-07 23:39:00,,2020-09-07,155,Vietnam,97499575,1049,0.0,35,0.0,853,38.0,161,,11,0.4,1009145,10350.0
2020-09-08 22:10:00,,2020-09-08,155,Vietnam,97501966,1054,5.0,35,0.0,868,15.0,151,,11,0.4,1009145,10350.0
2020-09-10 22:01:00,,2020-09-10,155,Vietnam,97506747,1059,5.0,35,0.0,890,22.0,134,,11,0.4,1009145,10349.0
2020-09-11 22:00:00,,2020-09-11,155,Vietnam,97509137,1060,1.0,35,0.0,902,12.0,123,,11,0.4,1009145,10349.0
2020-09-12 22:22:00,,2020-09-12,155,Vietnam,97511528,1060,0.0,35,0.0,902,0.0,123,,11,0.4,1009145,10349.0
2020-09-13 22:01:00,,2020-09-13,155,Vietnam,97513918,1063,3.0,35,0.0,918,16.0,110,,11,0.4,1009145,10349.0
2020-09-14 22:04:00,,2020-09-14,155,Vietnam,97516308,1063,0.0,35,0.0,918,0.0,110,,11,0.4,1009145,10348.0
2020-09-15 21:00:00,,2020-09-15,155,Vietnam,97518699,1063,0.0,35,0.0,926,8.0,102,,11,0.4,1009145,10348.0
