Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,211,Western Sahara,598481,10,,1,,8,,1,,17,2.0,,
2020-08-08,20:00:00,,211,Western Sahara,598722,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-12,20:00:00,,211,Western Sahara,598883,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-16,20:00:00,,211,Western Sahara,599044,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-17,20:00:00,,211,Western Sahara,599085,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-18,20:00:00,,211,Western Sahara,599125,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-19,20:00:00,,211,Western Sahara,599165,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-20,17:53:00,,211,Western Sahara,599205,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-23,21:09:00,,211,Western Sahara,599326,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-24,17:10:00,,211,Western Sahara,599366,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-25,23:00:00,,211,Western Sahara,599406,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-26,22:59:00,,211,Western Sahara,599447,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-27,23:00:00,,211,Western Sahara,599487,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-28,23:01:00,,211,Western Sahara,599527,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-29,12:29:00,,211,Western Sahara,599567,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-30,23:00:00,,211,Western Sahara,599608,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-08-31,18:58:00,,211,Western Sahara,599648,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-01,23:00:00,,211,Western Sahara,599688,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-02,23:01:00,,211,Western Sahara,599728,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-03,23:01:00,,211,Western Sahara,599769,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-04,07:01:00,,211,Western Sahara,599809,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-05,23:31:00,,211,Western Sahara,599849,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-06,18:30:00,,211,Western Sahara,599889,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-07,23:39:00,,211,Western Sahara,599930,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-08,22:10:00,,211,Western Sahara,599970,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-10,22:01:00,,211,Western Sahara,600050,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-11,22:00:00,,211,Western Sahara,600091,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-12,22:22:00,,211,Western Sahara,600131,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-13,22:01:00,,211,Western Sahara,600171,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-14,22:04:00,,211,Western Sahara,600211,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-15,21:00:00,,211,Western Sahara,600252,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-16,21:01:00,,211,Western Sahara,600292,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-18,20:01:00,,211,Western Sahara,600372,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-19,21:00:00,,211,Western Sahara,600413,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-20,22:31:00,,211,Western Sahara,600453,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-21,21:01:00,,211,Western Sahara,600493,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-22,21:01:00,,211,Western Sahara,600533,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-23,19:58:00,,211,Western Sahara,600574,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
2020-09-24,21:00:00,,211,Western Sahara,600614,10,0.0,1,0.0,8,0.0,1,,17,2.0,,
