Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,137,Yemen,29877902,1730,,494,,862,,374,,58,17.0,120.0,4.0
2020-08-08 20:00:00,,2020-08-08,137,Yemen,29888696,1796,66.0,512,18.0,907,45.0,377,,60,17.0,120.0,4.0
2020-08-12 20:00:00,,2020-08-12,137,Yemen,29895891,1831,35.0,523,11.0,919,12.0,389,,61,17.0,120.0,4.0
2020-08-16 20:00:00,,2020-08-16,137,Yemen,29903087,1858,27.0,528,5.0,1013,94.0,317,,62,18.0,120.0,4.0
2020-08-17 20:00:00,,2020-08-17,137,Yemen,29904886,1869,11.0,530,2.0,1013,0.0,326,,62,18.0,120.0,4.0
2020-08-18 20:00:00,,2020-08-18,137,Yemen,29906685,1882,13.0,535,5.0,1045,32.0,302,,63,18.0,120.0,4.0
2020-08-19 20:00:00,,2020-08-19,137,Yemen,29908484,1889,7.0,537,2.0,1052,7.0,300,,63,18.0,120.0,4.0
2020-08-20 17:53:00,,2020-08-20,137,Yemen,29910283,1892,3.0,539,2.0,1055,3.0,298,,63,18.0,120.0,4.0
2020-08-23 21:09:00,,2020-08-23,137,Yemen,29915680,1911,19.0,553,14.0,1086,31.0,272,,64,18.0,120.0,4.0
2020-08-24 17:10:00,,2020-08-24,137,Yemen,29917479,1911,0.0,553,0.0,1086,0.0,272,,64,18.0,120.0,4.0
2020-08-25 23:00:00,,2020-08-25,137,Yemen,29919278,1916,5.0,555,2.0,1090,4.0,271,,64,19.0,120.0,4.0
2020-08-26 22:59:00,,2020-08-26,137,Yemen,29921077,1924,8.0,557,2.0,1091,1.0,276,,64,19.0,120.0,4.0
2020-08-27 23:00:00,,2020-08-27,137,Yemen,29922875,1933,9.0,562,5.0,1098,7.0,273,,65,19.0,120.0,4.0
2020-08-28 23:01:00,,2020-08-28,137,Yemen,29924674,1943,10.0,563,1.0,1107,9.0,273,,65,19.0,120.0,4.0
2020-08-29 12:29:00,,2020-08-29,137,Yemen,29926473,1943,0.0,563,0.0,1107,0.0,273,,65,19.0,120.0,4.0
2020-08-30 23:00:00,,2020-08-30,137,Yemen,29928272,1953,10.0,564,1.0,1123,16.0,266,,65,19.0,120.0,4.0
2020-08-31 18:58:00,,2020-08-31,137,Yemen,29930071,1953,0.0,564,0.0,1123,0.0,266,,65,19.0,120.0,4.0
2020-09-01 23:00:00,,2020-09-01,137,Yemen,29931870,1958,5.0,566,2.0,1131,8.0,261,,65,19.0,120.0,4.0
2020-09-02 23:01:00,,2020-09-02,137,Yemen,29933669,1962,4.0,570,4.0,1160,29.0,232,,66,19.0,120.0,4.0
2020-09-03 23:01:00,,2020-09-03,137,Yemen,29935468,1976,14.0,571,1.0,1175,15.0,230,,66,19.0,120.0,4.0
2020-09-04 07:01:00,,2020-09-04,137,Yemen,29937267,1979,3.0,571,0.0,1180,5.0,228,,66,19.0,120.0,4.0
2020-09-05 23:31:00,,2020-09-05,137,Yemen,29939066,1983,4.0,572,1.0,1197,17.0,214,,66,19.0,120.0,4.0
2020-09-06 18:30:00,,2020-09-06,137,Yemen,29940865,1983,0.0,572,0.0,1197,0.0,214,,66,19.0,120.0,4.0
2020-09-07 23:39:00,,2020-09-07,137,Yemen,29942664,1989,6.0,573,1.0,1201,4.0,215,,66,19.0,,
2020-09-08 22:10:00,,2020-09-08,137,Yemen,29944463,1994,5.0,576,3.0,1203,2.0,215,,67,19.0,,
2020-09-10 22:01:00,,2020-09-10,137,Yemen,29948061,1999,5.0,576,0.0,1209,6.0,214,,67,19.0,,
2020-09-11 22:00:00,,2020-09-11,137,Yemen,29949860,2007,8.0,582,6.0,1211,2.0,214,,67,19.0,,
2020-09-12 22:22:00,,2020-09-12,137,Yemen,29951659,2007,0.0,582,0.0,1211,0.0,214,,67,19.0,,
2020-09-13 22:01:00,,2020-09-13,137,Yemen,29953458,2011,4.0,583,1.0,1212,1.0,216,,67,19.0,,
2020-09-14 22:04:00,,2020-09-14,137,Yemen,29955256,2011,0.0,583,0.0,1212,0.0,216,,67,19.0,,
2020-09-15 21:00:00,,2020-09-15,137,Yemen,29957055,2016,5.0,583,0.0,1219,7.0,214,,67,19.0,,
2020-09-16 21:01:00,,2020-09-16,137,Yemen,29958854,2019,3.0,583,0.0,1221,2.0,215,,67,19.0,,
2020-09-18 20:01:00,,2020-09-18,137,Yemen,29962452,2022,3.0,585,2.0,1221,0.0,216,,67,20.0,,
2020-09-19 21:00:00,,2020-09-19,137,Yemen,29964251,2026,4.0,585,0.0,1221,0.0,220,,68,20.0,,
2020-09-20 22:31:00,,2020-09-20,137,Yemen,29966050,2026,0.0,586,1.0,1227,6.0,213,,68,20.0,,
2020-09-21 21:01:00,,2020-09-21,137,Yemen,29967849,2026,0.0,586,0.0,1227,0.0,213,,68,20.0,,
2020-09-22 21:01:00,,2020-09-22,137,Yemen,29969648,2028,2.0,586,0.0,1235,8.0,207,,68,20.0,,
2020-09-23 19:58:00,,2020-09-23,137,Yemen,29971447,2029,1.0,586,0.0,1245,10.0,198,,68,20.0,,
2020-09-24 21:00:00,,2020-09-24,137,Yemen,29973246,2029,0.0,586,0.0,1250,5.0,193,,68,20.0,,
2020-09-25 21:00:00,,2020-09-25,137,Yemen,29975045,2029,0.0,587,1.0,1255,5.0,187,,68,20.0,,
2020-09-26 21:00:00,,2020-09-26,137,Yemen,29976844,2029,0.0,587,0.0,1255,0.0,187,,68,20.0,,
2020-09-27 22:45:00,,2020-09-27,137,Yemen,29978643,2030,1.0,587,0.0,1260,5.0,183,,68,20.0,,
2020-09-28 22:00:00,,2020-09-28,137,Yemen,29980442,2031,1.0,587,0.0,1266,6.0,178,,68,20.0,,
2020-09-29 21:35:00,,2020-09-29,137,Yemen,29982241,2031,0.0,587,0.0,1275,9.0,169,,68,20.0,,
2020-09-30 22:00:00,,2020-09-30,137,Yemen,29984040,2034,3.0,587,0.0,1286,11.0,161,,68,20.0,,
2020-10-01 21:31:00,,2020-10-01,137,Yemen,29985839,2039,5.0,587,0.0,1297,11.0,155,,68,20.0,,
2020-10-02 22:36:00,,2020-10-02,137,Yemen,29987637,2039,0.0,587,0.0,1297,0.0,155,,68,20.0,,
2020-10-03 22:24:00,,2020-10-03,137,Yemen,29989436,2041,2.0,589,2.0,1320,23.0,132,,68,20.0,,
2020-10-04 21:01:00,,2020-10-04,137,Yemen,29991235,2041,0.0,589,0.0,1320,0.0,132,,68,20.0,,
2020-10-05 22:13:00,,2020-10-05,137,Yemen,29993034,2041,0.0,591,2.0,1320,0.0,130,,68,20.0,,
