scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,101,Zimbabwe,14880846,3659,,69,,1011,,2579,,246,5.0,132593,8910,5
2020-08-08,20:00:00,2020-08-08,,101,Zimbabwe,14884394,4451,,102,,1345,,3004,,299,7.0,147026,9878,5
2020-08-12,20:00:00,2020-08-12,,101,Zimbabwe,14886760,4818,,104,,1544,20.0,3170,,324,7.0,149748,10059,5
2020-08-16,20:00:00,2020-08-16,,101,Zimbabwe,14889126,5176,,130,,2047,,2999,,348,9.0,149748,10058,5
2020-08-17,20:00:00,2020-08-17,,101,Zimbabwe,14889717,5261,,132,,2092,,3037,,353,9.0,149748,10057,5
2020-08-18,20:00:00,2020-08-18,,101,Zimbabwe,14890308,5308,,135,,3848,,1325,,356,9.0,149748,10057,5
2020-08-19,20:00:00,2020-08-19,,101,Zimbabwe,14890900,5378,,141,,4105,,1132,,361,9.0,149748,10056,5
2020-08-20,17:53:00,2020-08-20,,101,Zimbabwe,14891491,5643,,150,,4442,,1051,,379,10.0,149748,10056,5
2020-08-23,21:09:00,2020-08-23,,101,Zimbabwe,14893265,5893,,153,,4629,,1111,,396,10.0,149748,10055,5
2020-08-24,17:10:00,2020-08-24,,101,Zimbabwe,14893857,5930,,155,,4872,,903,,398,10.0,149748,10054,5
2020-08-25,23:00:00,2020-08-25,,101,Zimbabwe,14894448,6196,126.0,166,11.0,4961,11.0,1069,,416,11.0,149748,10054,5
2020-08-26,22:59:00,2020-08-26,,101,Zimbabwe,14895040,6196,,166,,4961,,1069,,416,11.0,149748,10054,5
2020-08-27,23:00:00,2020-08-27,,101,Zimbabwe,14895631,6251,,179,,5001,,1071,,420,12.0,149748,10053,5
2020-08-28,23:01:00,2020-08-28,,101,Zimbabwe,14896222,6292,,189,,5010,,1093,,422,13.0,149748,10053,5
2020-08-29,12:29:00,2020-08-29,,101,Zimbabwe,14896814,6388,,195,,5043,,1150,,429,13.0,149748,10052,5
2020-08-30,23:00:00,2020-08-30,,101,Zimbabwe,14897405,6412,6.0,196,,5061,5.0,1155,,430,13.0,149748,10052,5
2020-08-31,18:58:00,2020-08-31,,101,Zimbabwe,14897997,6412,,196,,5061,,1155,,430,13.0,149748,10052,5
2020-09-01,23:00:00,2020-09-01,,101,Zimbabwe,14898588,6497,,202,,5221,,1074,,436,14.0,150584,10107,5
2020-09-02,23:01:00,2020-09-02,,101,Zimbabwe,14899180,6559,,203,,5241,,1115,,440,14.0,151597,10175,5
2020-09-03,23:01:00,2020-09-03,,101,Zimbabwe,14899771,6638,,206,,5250,,1182,,446,14.0,151597,10174,5
2020-09-04,07:01:00,2020-09-04,,101,Zimbabwe,14900362,6678,,206,,5263,,1209,,448,14.0,151597,10174,5
2020-09-05,23:31:00,2020-09-05,,101,Zimbabwe,14900954,6837,,206,,5345,,1286,,459,14.0,151597,10174,5
2020-09-06,18:30:00,2020-09-06,,101,Zimbabwe,14901545,6837,,206,,5345,,1286,,459,14.0,151597,10173,5
2020-09-07,23:39:00,2020-09-07,,101,Zimbabwe,14902137,7116,279.0,208,2.0,5373,28.0,1535,,478,14.0,152262,10217,5
2020-09-08,22:10:00,2020-09-08,,101,Zimbabwe,14902728,7298,,210,,5455,,1633,,490,14.0,152262,10217,5
2020-09-09,22:01:00,2020-09-09,,101,Zimbabwe,14903319,7388,,218,,5477,,1693,,496,15.0,152262,10217,5
2020-09-10,22:01:00,2020-09-10,,101,Zimbabwe,14903911,7429,,222,,5542,,1665,,498,15.0,153315,10287,5
2020-09-11,22:00:00,2020-09-11,,101,Zimbabwe,14904502,7453,,222,,5635,,1596,,500,15.0,153315,10286,5
2020-09-12,22:22:00,2020-09-12,,101,Zimbabwe,14905094,7479,,224,,5660,,1595,,502,15.0,154366,10357,5
2020-09-13,22:01:00,2020-09-13,,101,Zimbabwe,14905685,7508,,224,,5675,,1609,,504,15.0,154366,10356,5
2020-09-14,22:04:00,2020-09-14,,101,Zimbabwe,14906276,7526,,224,,5678,,1624,,505,15.0,154733,10380,5
2020-09-15,21:00:00,2020-09-15,,101,Zimbabwe,14906868,7531,,224,,5690,,1617,,505,15.0,155082,10403,5
2020-09-16,21:01:00,2020-09-16,,101,Zimbabwe,14907459,7576,,224,,5783,,1569,,508,15.0,155486,10430,5
2020-09-18,20:01:00,2020-09-18,,101,Zimbabwe,14908642,7633,,224,,5841,,1568,,512,15.0,157144,10540,5
2020-09-19,21:00:00,2020-09-19,,101,Zimbabwe,14909233,7647,,224,,5883,,1540,,513,15.0,157144,10540,5
