Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",scrap_date,scrap_time
1,North America,"5,613,323","24,565","221,496",968,"2,895,525","6,854","2,496,302","26,059",02.08.20,
2,South America,"4,192,732","2,004","145,644",103,"2,839,117","2,913","1,207,971","14,322",02.08.20,
3,Asia,"4,422,098","47,241","98,815",719,"3,271,998","33,536","1,051,285","19,080",02.08.20,
4,Europe,"2,897,099","11,532","203,786",188,"1,748,058","6,110","945,255","5,151",02.08.20,
5,Africa,"949,993","1,263","20,041",23,"607,381","1,061","322,571","1,135",02.08.20,
6,Oceania,"19,709",663,233,7,"12,074",218,"7,402",46,02.08.20,
7,World,"18,095,675","87,268","690,030","2,008","11,374,804","50,692","6,030,841","65,797",02.08.20,
1,North America,"6,024,082","35,306","232,657","1,379","3,205,926","10,128","2,585,499","25,329",08.08.20,
2,South America,"4,650,987","27,001","157,452",708,"3,161,055","7,818","1,332,480","14,439",08.08.20,
3,Asia,"4,952,344","89,152","108,049","1,360","3,734,818","72,515","1,109,477","18,725",08.08.20,
4,Europe,"3,022,202","13,956","205,937",324,"1,816,295","11,306","999,970","5,175",08.08.20,
5,Africa,"1,030,192","4,728","22,611",58,"711,779","3,902","295,802","1,198",08.08.20,
6,Oceania,"22,574",427,304,12,"12,999",,"9,271",53,08.08.20,
7,World,"19,703,102","170,570","727,025","3,841","12,643,523","105,669","6,332,554","64,923",08.08.20,
1,North America,"6,249,979","8,524","238,804",954,"3,375,998","5,921","2,635,177","24,549",12.08.20,
2,South America,"4,887,320","1,693","163,440",49,"3,486,335",930,"1,237,545","14,735",12.08.20,
3,Asia,"5,221,611","14,713","112,834",263,"3,965,536","11,374","1,143,241","18,873",12.08.20,
4,Europe,"3,092,002","7,997","206,983",164,"1,857,591","9,853","1,027,428","5,190",12.08.20,
5,Africa,"1,069,132",39,"23,912",,"761,685",66,"283,535","1,207",12.08.20,
6,Oceania,"24,073",414,378,21,"14,092",6,"9,603",52,12.08.20,
7,World,"20,544,838","33,380","746,366","1,451","13,461,888","28,150","6,336,584","64,610",12.08.20,
1,North America,"6,520,423","7,240","246,720",665,"3,559,405","5,622","2,714,298","24,207",16.08.20,
2,South America,"5,228,818","1,196","174,840",64,"3,755,101",915,"1,298,877","14,863",16.08.20,
3,Asia,"5,593,009","15,506","118,990",329,"4,282,593","12,115","1,191,426","18,931",16.08.20,
4,Europe,"3,157,905","9,595","203,082",151,"1,908,629","4,599","1,046,194","5,180",16.08.20,
5,Africa,"1,113,390",247,"25,390",7,"828,344",310,"259,656","1,195",16.08.20,
6,Oceania,"25,449",317,422,17,"15,381",32,"9,646",51,16.08.20,
7,World,"21,639,715","34,101","769,459","1,233","14,350,104","23,593","6,520,152","64,431",16.08.20,
1,North America,"6,579,716","18,937","247,676",369,"3,592,208","10,439","2,739,832","24,086",17.08.20,
2,South America,"5,289,715","6,725","176,416",351,"3,827,422","8,748","1,285,877","14,805",17.08.20,
3,Asia,"5,723,906","64,227","121,347","1,201","4,453,388","65,689","1,149,171","18,845",17.08.20,
4,Europe,"3,179,431","13,417","203,324",204,"1,916,149","5,595","1,059,958","5,218",17.08.20,
5,Africa,"1,126,638","3,496","25,738",60,"840,165","1,713","260,735","1,206",17.08.20,
6,Oceania,"25,740",290,447,25,"16,286",459,"9,007",57,17.08.20,
7,World,"21,925,867","107,092","774,963","2,210","14,646,269","92,643","6,504,635","64,221",17.08.20,
1,North America,"6,632,089","17,604","248,968",767,"3,647,264","6,924","2,735,857","21,931",18.08.20,
2,South America,"5,332,348","3,422","177,755",183,"3,902,836","8,779","1,251,757","14,858",18.08.20,
3,Asia,"5,826,494","88,637","123,117","1,594","4,547,577","80,987","1,155,800","18,929",18.08.20,
4,Europe,"3,222,074","18,389","203,684",311,"1,927,762","10,704","1,090,628","5,201",18.08.20,
5,Africa,"1,134,916","2,815","25,995",53,"851,865","2,142","257,056","1,205",18.08.20,
6,Oceania,"26,011",226,464,17,"16,680",390,"8,867",59,18.08.20,
7,World,"22,174,653","131,093","779,998","2,925","14,894,635","109,926","6,500,020","62,187",18.08.20,
1,North America,"6,672,468","6,785","250,717",787,"3,691,569","4,866","2,730,182","21,711",19.08.20,
2,South America,"5,411,507","1,796","179,797",49,"3,995,108","1,152","1,236,602","14,908",19.08.20,
3,Asia,"5,849,583","18,247","123,575",292,"4,564,561","13,579","1,161,447","18,918",19.08.20,
4,Europe,"3,233,156","10,146","203,931",215,"1,938,543","9,741","1,090,682","5,246",19.08.20,
5,Africa,"1,141,062",287,"26,365",8,"862,878",314,"251,819","1,209",19.08.20,
6,Oceania,"26,251",226,476,12,"16,997",317,"8,778",59,19.08.20,
7,World,"22,334,748","37,487","784,876","1,363","15,070,307","29,969","6,479,565","62,055",19.08.20,
1,North America,"6,732,014","10,353","252,857",803,"3,753,183","6,687","2,725,974","21,511",20.08.20,
2,South America,"5,495,521","2,031","182,008",137,"4,088,142","6,268","1,225,371","14,855",20.08.20,
3,Asia,"5,973,153","45,252","125,693",773,"4,670,379","36,687","1,177,081","19,111",20.08.20,
4,Europe,"3,261,007","13,170","204,442",270,"1,950,506","9,262","1,106,059","5,252",20.08.20,
5,Africa,"1,152,518",781,"26,714",29,"874,882",794,"250,922","1,196",20.08.20,
6,Oceania,"26,511",260,489,13,"19,691","2,694","6,331",59,20.08.20,
7,World,"22,641,445","71,847","792,218","2,025","15,357,434","62,392","6,491,793","61,988",20.08.20,
1,North America,"6,918,245","22,625","258,944",878,"3,866,228","8,933","2,793,073","21,330",23.08.20,21:09
2,South America,"5,725,227","10,400","188,141",460,"4,270,082","15,741","1,267,004","14,878",23.08.20,21:09
3,Asia,"6,296,289","81,442","130,228","1,320","4,978,725","93,127","1,187,336","18,992",23.08.20,21:09
4,Europe,"3,354,259","19,433","205,306",188,"1,984,661","5,839","1,164,292","5,190",23.08.20,21:09
