Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
1,USA,"331,335,757","6,284,053","+26,482","189,575",+675,"3,527,920","+31,007","2,566,558","15,090","18,966",572,"83,889,426","253,186",1.0,02.09.20,23:01
2,Brazil,"212,817,864","3,961,502","+8,712","122,941",+260,"3,159,096",,"679,465","8,318","18,615",578,"14,352,484","67,440",2.0,02.09.20,23:01
3,India,"1,382,308,045","3,848,968","+82,860","67,486","+1,026","2,967,396","+67,875","814,086","8,944","2,784",49,"44,337,201","32,075",3.0,02.09.20,23:01
4,Russia,"145,945,354","1,005,000","+4,952","17,414",+115,"821,169","+5,464","166,417","2,300","6,886",119,"37,100,000","254,205",4.0,02.09.20,23:01
6,Peru,"33,048,955","657,129",,"29,068",,"471,599",,"156,462","1,493","19,884",880,"3,233,034","97,826",2.0,02.09.20,23:01
5,South Africa,"59,434,682","630,595","+2,336","14,389",+126,"553,456","+3,463","62,750",539,"10,610",242,"3,726,721","62,703",5.0,02.09.20,23:01
8,Colombia,"50,974,767","624,069",,"20,052",,"469,557",,"134,460","1,493","12,243",393,"2,777,107","54,480",2.0,02.09.20,23:01
7,Mexico,"129,162,329","606,036","+6,476","65,241",+827,"421,373","+4,635","119,422","3,275","4,692",505,"1,360,123","10,530",1.0,02.09.20,23:01
9,Spain,"46,757,930","479,554","+8,581","29,194",+42,,,,874,"10,256",624,"9,210,337","196,979",4.0,02.09.20,23:01
12,Argentina,"45,266,317","428,239",,"8,971",+52,"315,530","+7,154","103,738","2,314","9,460",198,"1,300,866","28,738",2.0,02.09.20,23:01
10,Chile,"19,144,157","414,739","+1,594","11,344",+23,"387,683","+1,893","15,712",947,"21,664",593,"2,481,508","129,622",2.0,02.09.20,23:01
11,Iran,"84,173,992","378,752","+1,858","21,797",+125,"326,801","+1,677","30,154","3,693","4,500",259,"3,281,961","38,990",3.0,02.09.20,23:01
13,UK,"67,947,310","338,676","+1,508","41,514",+10,,,,60,"4,984",611,"16,273,209","239,497",4.0,02.09.20,23:01
15,Bangladesh,"164,967,869","317,528","+2,582","4,351",+35,"211,016","+2,839","102,161",,"1,925",26,"1,577,616","9,563",3.0,02.09.20,23:01
14,Saudi Arabia,"34,904,460","317,486",+816,"3,956",+27,"292,510",+996,"21,020","1,523","9,096",113,"5,026,127","143,997",3.0,02.09.20,23:01
16,Pakistan,"221,601,047","296,590",+441,"6,318",+20,"281,459",+489,"8,813",584,"1,338",29,"2,662,508","12,015",3.0,02.09.20,23:01
19,France,"65,298,537","293,024","+7,017","30,686",+25,"86,963",+251,"175,375",446,"4,487",470,"7,500,000","114,857",4.0,02.09.20,23:01
18,Turkey,"84,492,764","273,301","+1,596","6,462",+45,"246,876",+947,"19,963","1,017","3,235",76,"7,355,862","87,059",3.0,02.09.20,23:01
17,Italy,"60,446,277","271,515","+1,326","35,497",+6,"208,201",+257,"27,817",109,"4,492",587,"8,828,868","146,061",4.0,02.09.20,23:01
20,Germany,"83,830,242","247,152","+1,151","9,389",+8,"221,800",,"15,963",245,"2,948",112,"11,208,091","133,700",4.0,02.09.20,23:01
21,Iraq,"40,370,299","242,284","+3,946","7,201",+78,"184,205","+3,732","50,878",527,"6,002",178,"1,647,454","40,809",3.0,02.09.20,23:01
22,Philippines,"109,826,339","226,440","+2,218","3,623",+27,"158,610",+609,"64,207",837,"2,062",33,"2,666,941","24,283",3.0,02.09.20,23:01
23,Indonesia,"274,013,706","180,646","+3,075","7,616",+111,"129,971","+1,914","43,059",,659,28,"2,301,628","8,400",3.0,02.09.20,23:01
24,Canada,"37,798,504","129,691",+266,"9,134",+2,"114,818",+211,"5,739",52,"3,431",242,"5,545,549","146,713",1.0,02.09.20,23:01
28,Ukraine,"43,687,291","125,789","+2,495","2,656",+51,"58,817","+1,015","64,316",177,"2,879",61,"1,597,707","36,571",4.0,02.09.20,23:01
30,Israel,"9,197,590","121,464","+2,926",969,+12,"97,234","+1,020","23,261",423,"13,206",105,"2,354,222","255,961",3.0,02.09.20,23:01
25,Qatar,"2,807,805","119,206",+212,199,+1,"116,111",+216,"2,896",60,"42,455",71,"639,742","227,844",3.0,02.09.20,23:01
26,Bolivia,"11,699,772","117,267",+669,"5,101",+74,"62,124","+1,716","50,042",71,"10,023",436,"243,331","20,798",2.0,02.09.20,23:01
27,Ecuador,"17,687,867","115,457","+1,148","6,619",+48,"101,867",+144,"6,971",363,"6,527",374,"334,945","18,936",2.0,02.09.20,23:01
29,Kazakhstan,"18,814,618","105,944",+72,"1,588",,"97,371",+472,"6,985",221,"5,631",84,"2,434,444","129,391",3.0,02.09.20,23:01
31,Egypt,"102,653,844","99,115",,"5,440",,"73,828",,"19,847",41,966,53,"135,000","1,315",5.0,02.09.20,23:01
32,Dominican Republic,"10,866,370","95,627",+648,"1,765",+27,"69,519",+783,"24,343",217,"8,800",162,"376,121","34,613",1.0,02.09.20,23:01
34,Panama,"4,326,110","93,552",,"2,018",,"66,974",,"24,560",168,"21,625",466,"343,407","79,380",1.0,02.09.20,23:01
38,Romania,"19,214,957","89,891","+1,298","3,721",+40,"38,701",+247,"47,469",519,"4,678",194,"1,852,088","96,388",4.0,02.09.20,23:01
37,Kuwait,"4,281,147","86,478",+667,535,+1,"78,209",+552,"7,734",92,"20,200",125,"626,041","146,232",3.0,02.09.20,23:01
35,Oman,"5,127,702","85,928",,689,,"81,024",,"4,215",154,"16,758",134,"309,212","60,302",3.0,02.09.20,23:01
36,Belgium,"11,598,314","85,487",+251,"9,897",+2,"18,457",+35,"57,133",68,"7,371",853,"2,289,784","197,424",4.0,02.09.20,23:01
33,Sweden,"10,110,062","84,532",,"5,820",+5,,,,14,"8,361",576,"1,094,856","108,294",4.0,02.09.20,23:01
40,Guatemala,"17,970,475","74,893",,"2,778",,"62,935",,"9,180",5,"4,168",155,"246,026","13,691",1.0,02.09.20,23:01
39,Belarus,"9,448,781","72,141",+179,691,+5,"70,900",+294,550,,"7,635",73,"1,543,966","163,404",4.0,02.09.20,23:01
42,Netherlands,"17,141,441","71,863",+734,"6,235",+5,,,,32,"4,192",364,"1,455,274","84,898",4.0,02.09.20,23:01
41,UAE,"9,910,566","71,540",+735,387,+3,"62,029",+538,"9,124",,"7,219",39,"7,257,053","732,254",3.0,02.09.20,23:01
43,Poland,"37,839,368","68,517",+595,"2,078",+20,"47,865",+835,"18,574",83,"1,811",55,"2,777,601","73,405",4.0,02.09.20,23:01
44,Japan,"126,408,476","68,392",,"1,296",,"57,823",,"9,273",234,541,10,"1,490,975","11,795",3.0,02.09.20,23:01
49,Morocco,"36,984,429","65,453","+1,672","1,216",+32,"50,357","+1,435","13,880",31,"1,770",33,"1,978,840","53,505",5.0,02.09.20,23:01
47,Honduras,"9,930,903","61,769",+755,"1,888",+15,"10,430",+34,"49,451",40,"6,220",190,"145,519","14,653",1.0,02.09.20,23:01
46,Portugal,"10,191,490","58,633",+390,"1,827",+3,"42,233",+129,"14,573",41,"5,753",179,"2,058,544","201,987",4.0,02.09.20,23:01
